Area_code,Area_name,Patient count,CV_AF,CV_CHD,CV_CVD,CV_HF,CV_LVSD,CV_HYP,CV_PAD,CV_STIA,Resp_AST,Resp_COPD,LS_OB,HD_CAN,HD_CKD,HD_DM,HD_PC,Neu_DEM,Neu_DEP,Neu_EP,Neu_LD,Neu_MH,MS_OST,MS_RA
E38000001,"NHS AIREDALE, WHARFEDALE AND CRAVEN CCG","159,064",0.0253671,0.0399713,0.0116041,0.0110270,#N/A,0.1532968,0.0077202,0.0234685,0.0720779,0.0211739,0.1160807,0.0337411,0.0397566,0.0725884,0.0101657,0.0109013,0.1069724,0.0089262,0.0054695,0.0099142,0.0092544,0.0074984
E38000006,NHS BARNSLEY CCG,"265,436",0.0206264,0.0437544,0.0104397,0.0091774,#N/A,0.1538149,0.0093092,0.0209354,0.0570910,0.0319286,0.1525505,0.0266618,0.0461621,0.0738324,0.0036506,0.0076779,0.1133827,0.0089602,0.0054627,0.0077457,0.0027094,0.0075706
E38000008,NHS BASSETLAW CCG,"123,423",0.0241851,0.0348719,0.0078083,0.0100386,#N/A,0.1428097,0.0071381,0.0193967,0.0569505,0.0243553,0.1212721,0.0297919,0.0627404,0.0762629,0.0052826,0.0099819,0.1092785,0.0087190,0.0052097,0.0068059,0.0039867,0.0074592
E38000019,NHS BRADFORD DISTRICTS CCG,"332,487",0.0165961,0.0322449,0.0125331,0.0086439,#N/A,0.1453651,0.0072544,0.0176879,0.0660838,0.0248341,0.1278227,0.0250175,0.0375921,0.0828601,0.0048062,0.0081477,0.1103454,0.0092550,0.0062799,0.0096665,0.0067264,0.0074745
E38000025,NHS CALDERDALE CCG,"220,461",0.0182028,0.0354530,0.0107182,0.0080967,#N/A,0.1377432,0.0074526,0.0187153,0.0661205,0.0226344,0.1128890,0.0280911,0.0381597,0.0657236,0.0047854,0.0071396,0.1284154,0.0102353,0.0057833,0.0102195,0.0057249,0.0074843
E38000018,NHS BRADFORD CITY CCG,"140,293",0.0050822,0.0233511,0.0097072,0.0051321,#N/A,0.0908741,0.0044265,0.0094944,0.0636240,0.0126165,0.1264800,0.0091095,0.0238331,0.1067343,0.0019673,0.0034499,0.0906333,0.0063337,0.0070780,0.0101145,0.0028002,0.0057143
E38000044,NHS DONCASTER CCG,"322,418",0.0218133,0.0356122,0.0126841,0.0101855,#N/A,0.1526249,0.0074965,0.0202284,0.0658710,0.0277249,0.1404097,0.0264843,0.0563964,0.0801913,0.0042212,0.0085479,0.0975398,0.0097720,0.0052758,0.0080051,0.0037352,0.0084247
E38000052,NHS EAST RIDING OF YORKSHIRE CCG,"304,028",0.0270403,0.0483113,0.0132359,0.0096077,#N/A,0.1774672,0.0075750,0.0227611,0.0670761,0.0244385,0.1183386,0.0398516,0.0521357,0.0772126,0.0036510,0.0101701,0.0862483,0.0092804,0.0046312,0.0068809,0.0048996,0.0094772
E38000064,NHS GREATER HUDDERSFIELD CCG,"248,689",0.0174797,0.0337731,0.0106036,0.0085649,#N/A,0.1313930,0.0067956,0.0180788,0.0654110,0.0180466,0.1033824,0.0256384,0.0335903,0.0635533,0.0037034,0.0075556,0.1090720,0.0081846,0.0064981,0.0099240,0.0067632,0.0073418
E38000069,"NHS HAMBLETON, RICHMONDSHIRE AND WHITBY CCG","143,884",0.0282311,0.0423188,0.0130307,0.0121556,#N/A,0.1722290,0.0079786,0.0270635,0.0625365,0.0213853,0.1005759,0.0375997,0.0556199,0.0662926,0.0052056,0.0098552,0.0911128,0.0088796,0.0059145,0.0073323,0.0104740,0.0096890
