Area_code,Area_name,Patient count,CV_AF,CV_CHD,CV_CVD,CV_HF,CV_LVSD,CV_HYP,CV_PAD,CV_STIA,Resp_AST,Resp_COPD,LS_OB,HD_CAN,HD_CKD,HD_DM,HD_PC,Neu_DEM,Neu_DEP,Neu_EP,Neu_LD,Neu_MH,MS_OST,MS_RA
B82007,TOWNHEAD SURGERY,"9,431",0.02767469,0.041989185,0.014206514,0.012193829,0.008164564,0.200084827,0.010921429,0.028204856,0.089280034,0.02767469,0.146094141,0.039338352,0.053830746,0.068047337,0.008270597,0.012087796,0.099399099,0.009514271,0.003817199,0.00933093,0.00496752,0.011030303
B82020,CROSS HILLS GROUP PRACTICE,"11,984",0.031291722,0.043474633,0.009923448,0.018024032,0.006675567,0.154289052,0.008845127,0.026285047,0.075684246,0.026285047,0.134822167,0.041889186,0.04611249,0.066251531,0.011682243,0.014269025,0.13337469,0.011269644,0.005006676,0.01034713,0.025522471,0.009156772
B82028,FISHER MEDICAL CENTRE,"14,131",0.027245064,0.043804402,0.013739192,0.010756493,0.001486094,0.159082867,0.008916566,0.026466634,0.095959239,0.021088387,0.125911939,0.043167504,0.047292078,0.066022544,0.007288939,0.011959522,0.109089349,0.009269591,0.002901422,0.010190362,0.0010085,0.007215976
B82053,DYNELEY HOUSE SURGERY,"12,392",0.023724984,0.035426081,0.010371179,0.006536475,0.000968367,0.160103292,0.007908328,0.021061975,0.071820529,0.016623628,0.109678055,0.034619109,0.031800729,0.066005638,0.010652034,0.009360878,0.107019789,0.006104165,0.004438347,0.009845061,0.003223971,0.005957529
B83002,ILKLEY & WHARFEDALE MEDICAL PRACTICE,"4,653",0.025145068,0.041693531,0.017016655,0.007307114,0.001074576,0.150225661,0.005587793,0.022136256,0.061250806,0.011820331,0.072750978,0.045991833,0.024511082,0.0433213,0.00967118,0.011605416,0.077705346,0.006518905,0.002149151,0.006447453,0.001741402,0.007386653
B83006,SILSDEN & STEETON MEDICAL PRACTICE,"11,528",0.029059681,0.046582235,0.013989103,0.011537127,0.005811936,0.170714781,0.008761277,0.025416378,0.071825121,0.020905621,0.098064242,0.035392089,0.044458626,0.069635542,0.015267176,0.013532269,0.081046586,0.009785152,0.002602359,0.008414296,0.003309969,0.008001663
B83008,LING HOUSE MEDICAL CENTRE,"11,688",0.015571526,0.037731006,0.01280133,0.012491444,0.002994524,0.11866872,0.006673511,0.019421629,0.064339493,0.023785079,0.150724638,0.023442847,0.025275362,0.092090267,0.007871321,0.007956879,0.115710145,0.00973913,0.011036961,0.015058179,0.028603795,0.008599509
B83019,GRANGE PARK SURGERY,"6,737",0.024788482,0.035030429,0.009226933,0.007570135,0.002523378,0.149473059,0.004898323,0.022710405,0.056998664,0.01068725,0.052591608,0.036960071,0.020884754,0.049727904,0.007718569,0.008609173,0.067970382,0.008923486,0.004007719,0.006679531,0.002411299,0.006463527
B83021,FARFIELD GROUP PRACTICE,"12,878",0.021664855,0.040223637,0.00975265,0.012268986,0.007066315,0.132163379,0.007998136,0.024693275,0.076021121,0.027877,0.122292737,0.033002019,0.043215473,0.088959492,0.006911011,0.007765181,0.133776569,0.009670595,0.010405342,0.010793601,0.011959715,0.006262231
B83023,HOLYCROFT SURGERY,"9,908",0.023617279,0.044004845,0.010578013,0.011707711,0.002624142,0.128885749,0.008175212,0.022103351,0.075898264,0.027755349,0.179490564,0.027452564,0.047644186,0.079776158,0.011707711,0.011808639,0.138181338,0.010294312,0.006055713,0.016047638,0.007952286,0.006923077
