Area_code,Area_name,Patient count,CV_AF,CV_CHD,CV_CVD,CV_HF,CV_LVSD,CV_HYP,CV_PAD,CV_STIA,Resp_AST,Resp_COPD,LS_OB,HD_CAN,HD_CKD,HD_DM,HD_PC,Neu_DEM,Neu_DEP,Neu_EP,Neu_LD,Neu_MH,MS_OST,MS_RA
E54000005,WEST YORKSHIRE STP,"2,710,486",0.017529698,0.033268941,0.011363613,0.007995983,#N/A,0.135137758,0.006777013,0.01805617,0.06361664,0.02162933,0.11158980,0.02589794,0.03835895,0.07025639,0.00394062,0.00755658,0.10406747,0.00843762,0.00564659,0.00951674,0.00594311,0.00737127
E54000006,"HUMBER, COAST AND VALE STP","1,428,962",0.022570229,0.040517523,0.012420062,0.00848588,#N/A,0.155717227,0.007130351,0.02071434,0.06382885,0.02314757,0.11269065,0.03178951,0.04429318,0.07010992,0.00327370,0.00851597,0.09499658,0.00929978,0.00469922,0.00806949,0.00491491,0.00853911
E54000007,GREATER MANCHESTER STP,"3,044,238",0.016897825,0.032778646,0.011504377,0.008935569,#N/A,0.13552127,0.007432402,0.01777522,0.06405774,0.02313157,0.10407530,0.02440348,0.03884059,0.07199067,0.00402301,0.00731743,0.11370055,0.00897472,0.00514612,0.01042264,0.00594759,0.00689462
E54000008,CHESHIRE AND MERSEYSIDE STP,"2,620,326",0.023234514,0.037414429,0.013089296,0.010488008,#N/A,0.1536908,0.008174937,0.02031274,0.06297384,0.02526709,0.11147360,0.03043743,0.04812334,0.06899512,0.00454676,0.00838980,0.11826256,0.00954184,0.00529209,0.01086506,0.00702446,0.00819050
E54000009,SOUTH YORKSHIRE AND BASSETLAW STP,"1,574,811",0.020882506,0.037363214,0.011053104,0.0100774,#N/A,0.14435891,0.007402793,0.02034085,0.06251290,0.02579040,0.12282338,0.02636951,0.04682846,0.07163748,0.00411605,0.00862389,0.10896171,0.00929759,0.00603755,0.00866580,0.00455326,0.00760028
E54000045,"DURHAM, DARLINGTON, TEESSIDE, HAMBLETON, RICHMONDSHIRE AND WHITBY STP","1,138,056",0.022236164,0.042810723,0.013445565,0.011581152,#N/A,0.161840894,0.008561969,0.02290221,0.06424464,0.03056528,0.13272109,0.02988342,0.04275659,0.07298396,0.00696714,0.00957861,0.11304111,0.01044889,0.00644520,0.00929040,0.00631827,0.00845334
E54000046,"NORTHUMBERLAND, TYNE AND WEAR AND NORTH DURHAM STP","1,770,264",0.020994609,0.040909717,0.010593868,0.011418636,#N/A,0.155033938,0.009041024,0.02239384,0.06360238,0.02772468,0.12536863,0.02996502,0.05069716,0.07092133,0.00517380,0.00865351,0.10584106,0.00920638,0.00647361,0.00969629,0.00755222,0.00901039
E54000047,"WEST, NORTH AND EAST CUMBRIA STP","323,943",0.02452592,0.048696839,0.01136034,0.012736809,#N/A,0.162750854,0.011872459,0.02484079,0.06675557,0.02439627,0.11396155,0.03674103,0.06250615,0.07680378,0.00647336,0.00919298,0.12820154,0.00964718,0.00563062,0.01042776,0.00835618,0.01015183
E54000048,LANCASHIRE AND SOUTH CUMBRIA STP,"1,775,251",0.021471893,0.039195584,0.012071183,0.010622723,#N/A,0.151121729,0.008952537,0.02083536,0.06765747,0.02500717,0.10529804,0.03010110,0.04941715,0.07194215,0.00520377,0.00903872,0.11981184,0.00948692,0.00471708,0.01084579,0.00485124,0.00815623
E54000010,STAFFORDSHIRE STP,"1,150,915",0.022435193,0.035988757,0.012658576,0.009018911,#N/A,0.160787721,0.006680771,0.02089815,0.06202891,0.02196948,0.11692913,0.03089629,0.04219091,0.07481033,0.00371444,0.00889206,0.11243181,0.00983429,0.00512983,0.00779032,0.00510094,0.00898142
E54000011,SHROPSHIRE AND TELFORD AND WREKIN STP,"492,954",0.023365263,0.034780121,0.011641803,0.008690466,#N/A,0.154829862,0.008369949,0.02275466,0.06611773,0.01934055,0.10772795,0.03264199,0.05284701,0.07067388,0.00303274,0.00930513,0.11826906,0.00933843,0.00486455,0.00833749,0.00647834,0.00886004
E54000012,DERBYSHIRE STP,"1,048,933",0.021764021,0.036639137,0.011775115,0.010749972,#N/A,0.154852598,0.006988054,0.02094319,0.06493456,0.02202524,0.11174131,0.02936603,0.05663571,0.07396350,0.00635980,0.00906636,0.10975299,0.00903232,0.00689081,0.00895672,0.00591175,0.00806855
E54000013,LINCOLNSHIRE STP,"791,178",0.024933706,0.042087874,0.012018202,0.012868154,#N/A,0.165799605,0.007041399,0.02274204,0.06528367,0.02259416,0.11920642,0.03471659,0.07021765,0.07773039,0.00555754,0.00908771,0.10814364,0.00904173,0.00609471,0.00816378,0.01001551,0.00854254
E54000014,NOTTINGHAMSHIRE STP,"1,084,857",0.018326839,0.03311312,0.010830553,0.008079406,#N/A,0.133888614,0.005308534,0.01808902,0.05961247,0.01940164,0.10757738,0.02696208,0.04556991,0.06555902,0.00499328,0.00839097,0.09381453,0.00870629,0.00561088,0.00827943,0.00565102,0.00653666
E54000015,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP","1,130,243",0.018128845,0.028462906,0.012392147,0.009494418,#N/A,0.140037142,0.004594587,0.01611246,0.05735492,0.01674242,0.08673112,0.02437440,0.03682890,0.07663298,0.00749219,0.00807083,0.10666498,0.00746473,0.00461582,0.00867601,0.00562774,0.00751587
E54000016,THE BLACK COUNTRY STP,"1,452,045",0.017542156,0.034414911,0.010736492,0.008821352,#N/A,0.150874112,0.005501896,0.01684452,0.06044579,0.01927006,0.12778491,0.02273070,0.04568562,0.08657202,0.00408734,0.00710584,0.09668312,0.00877438,0.00516375,0.01006580,0.00528704,0.00876850
E54000017,BIRMINGHAM AND SOLIHULL STP,"1,310,060",0.015342809,0.029284918,0.010152225,0.006674503,#N/A,0.128500985,0.005082973,0.01552601,0.06104148,0.01659619,0.09803392,0.02296994,0.04176666,0.08214912,0.00406928,0.00662183,0.09585327,0.00823599,0.00621193,0.01106285,0.00473504,0.00713263
E54000018,COVENTRY AND WARWICKSHIRE STP,"991,798",0.018151882,0.027110359,0.011201267,0.007653776,#N/A,0.142925273,0.005510195,0.01719403,0.05772143,0.01646505,0.09268492,0.02616864,0.05182255,0.06550972,0.00329099,0.00698832,0.09433634,0.00778866,0.00413592,0.00846342,0.00730443,0.00739727
E54000019,HEREFORDSHIRE AND WORCESTERSHIRE STP,"792,642",0.023998224,0.03460831,0.011991157,0.011122297,#N/A,0.163122822,0.006460672,0.02227487,0.06371350,0.02070039,0.10950512,0.03524542,0.05472917,0.07151644,0.00559269,0.00841490,0.11291429,0.00868356,0.00478148,0.00782951,0.01187373,0.00955698
E54000020,NORTHAMPTONSHIRE STP,"764,266",0.018630948,0.030226387,0.011509614,0.00841461,#N/A,0.142496199,0.005903704,0.01657015,0.06052736,0.01909414,0.10246479,0.02751921,0.03954284,0.06663803,0.00207912,0.00695962,0.12380049,0.00772125,0.00490536,0.00831778,0.00671269,0.00749432
E54000021,CAMBRIDGESHIRE AND PETERBOROUGH STP,"967,307",0.017572498,0.027501093,0.011744602,0.006799289,#N/A,0.126483112,0.005024258,0.01460963,0.05978454,0.01707111,0.08505300,0.02656861,0.02754847,0.05965345,0.00390259,0.00677241,0.08845014,0.00696958,0.00419412,0.00801193,0.00506674,0.00724394
E54000022,NORFOLK AND WAVENEY STP,"1,030,405",0.02490477,0.037432854,0.012236111,0.008801394,#N/A,0.159997283,0.006256763,0.02229415,0.06878169,0.02223398,0.10561996,0.03366831,0.04554196,0.07157610,0.00450600,0.00947492,0.09792127,0.00888155,0.00651394,0.00926917,0.00333794,0.00967299
E54000023,SUFFOLK AND NORTH EAST ESSEX STP,"1,009,876",0.02329989,0.03519442,0.012208803,0.01010025,#N/A,0.15438232,0.00569971,0.01934693,0.06574074,0.02045004,0.10584427,0.03296345,0.05032662,0.06573259,0.00498675,0.00901299,0.10097538,0.00858203,0.00535214,0.00884366,0.00739715,0.00824441
E54000024,"MILTON KEYNES, BEDFORDSHIRE AND LUTON STP","1,008,033",0.015003477,0.02640985,0.011600879,0.006326182,#N/A,0.131301257,0.003968124,0.01340631,0.05907644,0.01533283,0.09782146,0.02397045,0.02948099,0.06755688,0.00365365,0.00561688,0.09307147,0.00676761,0.00417248,0.00855032,0.00404135,0.00689367
E54000025,HERTFORDSHIRE AND WEST ESSEX STP,"1,556,569",0.018655774,0.027159734,0.011902276,0.007049479,#N/A,0.132435504,0.004411626,0.01578986,0.05608810,0.01533180,0.08459099,0.02739615,0.03313449,0.05897216,0.00448358,0.00756600,0.09173997,0.00708569,0.00423239,0.00801699,0.00518513,0.00727865
E54000026,MID AND SOUTH ESSEX STP,"1,219,651",0.018502014,0.030493969,0.012663,0.007654649,#N/A,0.149364859,0.004320908,0.01737710,0.05893653,0.01898330,0.08569608,0.02751033,0.04513488,0.06607805,0.00302956,0.00780961,0.09135626,0.00790076,0.00408314,0.00819333,0.00390134,0.00850623
E54000027,NORTH WEST LONDON STP,"2,429,144",0.011174718,0.021430183,0.01132211,0.005270169,#N/A,0.113076047,0.003206068,0.01072724,0.04474128,0.01008421,0.07256099,0.01774493,0.02253432,0.07142564,0.00266802,0.00502029,0.06384569,0.00537096,0.00327564,0.01147812,0.00354334,0.00550859
